,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,San Cristobal,75,VE,1586195081,70,7.77,-72.22,84.2,9.17
1,Ushuaia,75,AR,1586195081,75,-54.8,-68.3,46.4,17.22
2,Albany,75,US,1586194919,32,42.6,-73.97,57.99,4.7
3,Forssa,98,FI,1586195081,49,60.81,23.62,48.2,6.93
4,Yellowknife,75,CA,1586195081,53,62.46,-114.35,27,14.99
5,Port Alfred,56,ZA,1586195082,66,-33.59,26.89,64.63,30.09
6,Vuktyl,78,RU,1586195082,94,63.86,57.31,17.22,4.54
7,Grindavik,90,IS,1586195082,100,63.84,-22.43,33.8,38.03
8,Ormara,14,PK,1586195082,67,25.21,64.64,79.47,7.34
9,Camacha,20,PT,1586195082,73,33.08,-16.33,71.6,8.05
10,Saskylakh,99,RU,1586195082,97,71.92,114.08,19.9,3.98
11,Koboko,95,UG,1586195083,43,3.41,30.96,72.48,3.24
12,Ballina,44,AU,1586195083,82,-28.87,153.57,64.4,8.05
13,Puerto Ayora,20,EC,1586195083,70,-0.74,-90.35,86,11.41
14,Meridian,20,US,1586194990,93,43.61,-116.39,55,2.28
15,Khatanga,99,RU,1586195032,98,71.97,102.5,26.87,4.81
16,Bambous Virieux,40,MU,1586195083,78,-20.34,57.76,79,12.75
17,Talnakh,90,RU,1586195036,95,69.49,88.4,32,15.66
18,Avarua,75,CK,1586195054,94,-21.21,-159.78,75.2,2.24
19,Busselton,0,AU,1586195084,36,-33.65,115.33,66.99,17.72
20,Coquimbo,18,CL,1586195084,68,-29.95,-71.34,68,12.75
21,Bethel,1,US,1586195084,26,41.37,-73.41,62.01,8.05
22,Rikitea,54,PF,1586195084,65,-23.12,-134.97,75.13,5.53
23,Tighina,0,MD,1586195085,24,46.83,29.47,51.01,4.7
24,New Norfolk,30,AU,1586195056,81,-42.78,147.06,44.6,6.93
25,East London,80,ZA,1586195085,64,-33.02,27.91,67.05,21.79
26,Yining,29,CN,1586195085,75,29.04,114.56,53.49,1.41
27,Bamako,0,ML,1586195085,6,12.65,-8,107.6,5.82
28,Punta Arenas,91,CL,1586195085,54,-53.15,-70.92,53.6,29.97
29,Saint Paul Harbor,40,US,1586195085,36,57.79,-152.41,30.2,17.22
30,Ostrovnoy,100,RU,1586195065,96,68.05,39.51,22.33,8.25
31,Mahébourg,40,MU,1586194824,78,-20.41,57.7,79,12.75
